"Id","Date","Name","LedgerNo","Label","Debit","Credit","PartyID"
"12","2023-10-01 00:00:00","JD Pet Clinic                                                                                                                                                                                           ","INV-2023-100                                      ","Sales                                                                                                                                                                                                   ","8378.00","0.00","C-0002              "
"13","2023-10-01 00:00:00","NSK Pet Clinic                                                                                                                                                                                          ","INV-2023-101                                      ","Sales                                                                                                                                                                                                   ","3360.00","0.00","C-0001              "
"14","2023-10-01 00:00:00","AHAVA Veterinary Clinic                                                                                                                                                                                 ","INV-2023-102                                      ","Sales                                                                                                                                                                                                   ","2989.00","0.00","C-0003              "
"15","2023-10-07 00:00:00","BLUE'S PET CLINIC                                                                                                                                                                                       ","INV-2023-103                                      ","Sales                                                                                                                                                                                                   ","716.00","0.00","C-0004              "
"16","2023-10-05 00:00:00","The Nest                                                                                                                                                                                                ","INV-2023-104                                      ","Sales                                                                                                                                                                                                   ","5378.00","0.00","C-0006              "
"19","2023-10-07 00:00:00","Jinu                                                                                                                                                                                                    ","INV-2023-105                                      ","Sales                                                                                                                                                                                                   ","10491.00","0.00","C-0007              "
"20","2023-10-07 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2023-105                                      ","Payment                                                                                                                                                                                                 ","0.00","10491.00","C-0007              "
"23","2023-10-11 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-002                                      ","Sales                                                                                                                                                                                                   ","230146.00","0.00","C-0005              "
"24","2023-10-11 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2023-002                                      ","Payment                                                                                                                                                                                                 ","0.00","230146.00","C-0005              "
"27","2023-10-16 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-003                                      ","Sales                                                                                                                                                                                                   ","26921.00","0.00","C-0005              "
"28","2023-10-16 00:00:00","Cash Account                                                                                                                                                                                            ","INV-2023-003                                      ","Payment                                                                                                                                                                                                 ","0.00","26921.00","C-0005              "
"31","2023-10-17 00:00:00","BARK N' PURR                                                                                                                                                                                            ","INV-2023-004                                      ","Sales                                                                                                                                                                                                   ","3960.00","0.00","C-0005              "
