"Inv_ID","InvoiceNo","InvoiceDate","TaxType","Customer_ID","SalesmanID","SubTotal","CGST","SGST","IGST","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPaid","Balance","Remarks","Time","RewardsClaimed"
"0","INV-2024-A4                   ","2024-04-06 00:00:00","Exclusive           ","4","0","4671.62","420.43","420.43","0.00","0.00","0.00","5512.48","-0.48","5512.00","5512.00","0.00","","Saturday, 06 April 2024 03:20:47 PM","0.00"
"1","INV-2024-1-100                ","2024-06-04 00:00:00","Exclusive           ","14","0","4119.12","370.72","370.72","0.00","0.00","0.00","4860.56","0.44","4861.00","4861.00","0.00","","Tuesday, 04 June 2024 01:58:07 PM","0.00"
"2","INV-2023-002                  ","2023-10-11 00:00:00","Exclusive           ","5","0","195038.68","17553.49","17553.49","0.00","0.00","0.00","230145.66","0.34","230146.00","230146.00","0.00","","Wednesday, 11 October 2023 10:47:07 AM","0.00"
"3","INV-2023-003                  ","2023-10-16 00:00:00","Exclusive           ","5","0","22814.48","2053.30","2053.30","0.00","0.00","0.00","26921.08","-0.08","26921.00","26921.00","0.00","","Monday, 16 October 2023 01:49:10 PM","0.00"
"4","INV-2023-004                  ","2023-10-17 00:00:00","Exclusive           ","5","0","3355.94","302.03","302.03","0.00","0.00","0.00","3960.00","0.00","3960.00","3960.00","0.00","","Tuesday, 17 October 2023 09:47:44 AM","0.00"
"5","INV-2024-5                    ","2024-04-08 00:00:00","Exclusive           ","11","0","4866.05","437.95","437.95","0.00","0.00","0.00","5741.95","0.05","5742.00","0.00","5742.00","","Monday, 08 April 2024 07:44:33 AM","0.00"
"6","INV-2024-6                    ","2024-04-08 00:00:00","Exclusive           ","11","0","6737.29","606.35","606.35","0.00","0.00","0.00","7949.99","0.01","7950.00","7950.00","0.00","","Monday, 08 April 2024 07:46:42 AM","0.00"
"7","INV-2024-7                    ","2024-04-08 00:00:00","Exclusive           ","14","0","8803.44","792.32","792.32","0.00","0.00","0.00","10388.08","-0.08","10388.00","0.00","10388.00","","Monday, 08 April 2024 07:53:11 AM","0.00"
"8","INV-2024-8                    ","2024-04-08 00:00:00","Exclusive           ","2","0","4083.65","367.54","367.54","0.00","0.00","0.00","4818.73","0.27","4819.00","4819.00","0.00","","Monday, 08 April 2024 06:07:05 PM","0.00"
"10","INV-2024-10                   ","2024-04-08 00:00:00","Exclusive           ","2","0","1566.10","140.95","140.95","0.00","0.00","0.00","1848.00","0.00","1848.00","1848.00","0.00","","Monday, 08 April 2024 06:17:01 PM","0.00"
"11","INV-2024-11                   ","2024-04-08 00:00:00","Exclusive           ","26","0","3355.92","302.03","302.03","0.00","0.00","0.00","3959.98","0.02","3960.00","3960.00","0.00","","Monday, 08 April 2024 06:29:05 PM","0.00"
"12","INV-2024-12                   ","2024-04-09 00:00:00","Exclusive           ","6","0","4233.92","381.07","381.07","0.00","0.00","0.00","4996.06","-0.06","4996.00","4996.00","0.00","","Tuesday, 09 April 2024 06:06:36 PM","0.00"
"13","INV-2024-13                   ","2024-04-09 00:00:00","Exclusive           ","9","0","35135.69","3162.21","3162.21","0.00","0.00","0.00","41460.11","-0.11","41460.00","0.00","41460.00","","Tuesday, 09 April 2024 06:11:36 PM","0.00"
"14","INV-2024-14                   ","2024-04-09 00:00:00","Exclusive           ","9","0","25046.40","2254.17","2254.17","0.00","0.00","886.65","29554.74","0.26","28668.35","28668.35","0.00","","Tuesday, 09 April 2024 06:50:17 PM","0.00"
