"IP_ID","InvoiceID","PaymentDate","TotalPaid","PaymentMode"
"7","100","2023-10-07 00:00:00","8378.00","Credit Terms - 30 days                                                                                                                                "
"8","101","2023-10-07 00:00:00","3360.00","Credit Terms - 15 days                                                                                                                                "
"9","102","2023-10-07 00:00:00","2989.00","Credit Terms - 15 days                                                                                                                                "
"10","103","2023-10-07 00:00:00","716.00","Credit Terms - 30 days                                                                                                                                "
"11","104","2023-10-07 00:00:00","5378.00","Credit Terms - 30 days                                                                                                                                "
"13","105","2023-10-07 00:00:00","10491.00","By Cash                                                                                                                                               "
"15","2","2023-10-11 00:00:00","230146.00","By Cash                                                                                                                                               "
"17","3","2023-10-16 00:00:00","26921.00","By Cash                                                                                                                                               "
"19","4","2023-10-17 00:00:00","3960.00","By Cash                                                                                                                                               "
"20","108","2023-10-17 00:00:00","9504.00","Credit Terms - 30 days                                                                                                                                "
"21","109","2023-10-17 00:00:00","6218.00","Credit Terms - 15 days                                                                                                                                "
"26","111","2023-10-20 00:00:00","7200.00","Credit Terms - 30 days                                                                                                                                "
"27","110","2023-10-21 00:00:00","5127.00","Credit Terms - 30 days                                                                                                                                "
"28","112","2023-10-23 00:00:00","25355.00","By Cash                                                                                                                                               "
"29","113","2023-10-24 00:00:00","2156.00","Credit Terms - 30 days                                                                                                                                "
"31","107","2023-10-16 00:00:00","53675.00","Credit Terms - 30 days                                                                                                                                "
"32","106","2023-10-11 00:00:00","10660.00","Credit Terms - 30 days                                                                                                                                "
"33","115","2023-10-25 00:00:00","15960.00","Credit Terms - 30 days                                                                                                                                "
"34","116","2023-10-27 00:00:00","23220.00","Credit Terms - 30 days                                                                                                                                "
"35","117","2023-10-28 00:00:00","32448.00","Credit Terms - 30 days                                                                                                                                "
"36","118","2023-10-28 00:00:00","3564.00","Credit Terms - 30 days                                                                                                                                "
"38","119","2023-10-28 00:00:00","9755.00","Credit Terms - 15 days                                                                                                                                "
"39","120","2023-11-03 00:00:00","9090.00","Credit Terms - 15 days                                                                                                                                "
"40","121","2023-11-06 00:00:00","17088.00","By Cash                                                                                                                                               "
"43","122","2023-11-06 00:00:00","4557.00","Credit Terms - 30 days                                                                                                                                "
"44","123","2023-11-09 00:00:00","48550.00","Credit Terms - 30 days                                                                                                                                "
"45","124","2023-11-09 00:00:00","18307.38","Credit Terms - 30 days                                                                                                                                "
"46","125","2023-11-11 00:00:00","6420.00","By Cash                                                                                                                                               "
"47","126","2023-11-14 00:00:00","7560.00","By Cash                                                                                                                                               "
"48","127","2023-11-17 00:00:00","40290.00","Credit Terms - 30 days                                                                                                                                "
"49","128","2023-11-19 00:00:00","19883.00","By Cash                                                                                                                                               "
"50","129","2023-11-19 00:00:00","14640.00","Credit Terms - 30 days                                                                                                                                "
"52","130","2023-11-20 00:00:00","12939.00","Credit Terms - 30 days                                                                                                                                "
"53","131","2023-11-20 00:00:00","5678.00","Credit Terms - 30 days                                                                                                                                "
"54","132","2023-11-20 00:00:00","2156.00","Credit Terms - 30 days                                                                                                                                "
"55","114","2023-11-22 00:00:00","2289.00","Credit Terms - 30 days                                                                                                                                "
"56","133","2023-11-28 00:00:00","10062.00","Credit Terms - 7 days                                                                                                                                 "
"57","134","2023-11-28 00:00:00","13932.00","Credit Terms - 30 days                                                                                                                                "
"58","135","2023-11-30 00:00:00","1433.00","Credit Terms - 30 days                                                                                                                                "
"59","136","2023-12-01 00:00:00","5378.00","Credit Terms - 15 days                                                                                                                                "
"62","138","2023-12-12 00:00:00","22368.00","By Cash                                                                                                                                               "
"63","139","2023-12-12 00:00:00","45888.00","Credit Terms - 30 days                                                                                                                                "
"64","137","2023-12-12 00:00:00","36600.00","By Cash                                                                                                                                               "
"65","140","2023-12-12 00:00:00","3743.00","By Cash                                                                                                                                               "
"66","141","2023-12-12 00:00:00","11380.00","By Cash                                                                                                                                               "
"67","142","2023-12-12 00:00:00","4158.00","By Cash                                                                                                                                               "
"68","144","2023-12-12 00:00:00","6188.30","Credit Terms - 30 days                                                                                                                                "
"70","145","2023-12-21 00:00:00","5190.00","Credit Terms - 30 days                                                                                                                                "
"71","146","2023-12-21 00:00:00","9504.00","Credit Terms - 30 days                                                                                                                                "
"72","147","2023-12-22 00:00:00","49501.00","By Cash                                                                                                                                               "
"73","148","2023-12-23 00:00:00","4547.00","Credit Terms - 30 days                                                                                                                                "
"75","149","2023-12-23 00:00:00","36707.00","Credit Terms - 30 days                                                                                                                                "
"76","150","2024-01-01 00:00:00","41520.00","Credit Terms - 30 days                                                                                                                                "
"77","151","2024-01-02 00:00:00","2092.00","Credit Terms - 30 days                                                                                                                                "
"79","153","2024-01-05 00:00:00","2273.00","Credit Terms - 15 days                                                                                                                                "
"80","154","2024-01-13 00:00:00","8438.00","Credit Terms - 15 days                                                                                                                                "
"81","152","2024-01-13 00:00:00","25344.00","Credit Terms - 30 days                                                                                                                                "
"82","155","2024-01-13 00:00:00","13932.00","Credit Terms - 30 days                                                                                                                                "
"83","156","2024-01-13 00:00:00","2512.00","Credit Terms - 30 days                                                                                                                                "
"84","157","2024-01-13 00:00:00","5320.00","Credit Terms - 30 days                                                                                                                                "
"86","158","2024-01-16 00:00:00","18124.00","Credit Terms - 15 days                                                                                                                                "
"87","163","2024-01-30 00:00:00","57899.00","Credit Terms - 30 days                                                                                                                                "
