"Id","Date","Name","LedgerNo","Label","Debit","Credit","PartyID"
"35","2023-09-25 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0001                                           ","Purchase                                                                                                                                                                                                ","0.00","50174.00","S-0002              "
"36","2023-09-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0001                                           ","Payment                                                                                                                                                                                                 ","50174.00","0.00","S-0002              "
"37","2023-09-17 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0002                                           ","Purchase                                                                                                                                                                                                ","0.00","15417.00","S-0001              "
"38","2023-09-17 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0002                                           ","Payment                                                                                                                                                                                                 ","15417.00","0.00","S-0001              "
"39","2023-09-18 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0003                                           ","Purchase                                                                                                                                                                                                ","0.00","71190.00","S-0001              "
"40","2023-09-18 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0003                                           ","Payment                                                                                                                                                                                                 ","71190.00","0.00","S-0001              "
"41","2023-09-08 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0004                                           ","Purchase                                                                                                                                                                                                ","0.00","29212.00","S-0001              "
"42","2023-09-08 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0004                                           ","Payment                                                                                                                                                                                                 ","29212.00","0.00","S-0001              "
"43","2023-09-08 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0005                                           ","Purchase                                                                                                                                                                                                ","0.00","68864.00","S-0001              "
"44","2023-09-08 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0005                                           ","Payment                                                                                                                                                                                                 ","68864.00","0.00","S-0001              "
"45","2023-09-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0006                                           ","Purchase                                                                                                                                                                                                ","0.00","29374.00","S-0001              "
"46","2023-09-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0006                                           ","Payment                                                                                                                                                                                                 ","29374.00","0.00","S-0001              "
"47","2023-09-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0007                                           ","Purchase                                                                                                                                                                                                ","0.00","10278.00","S-0001              "
