"T_ID","TransactionID","Date","PaymentMode","SupplierID","Amount","Remarks","PaymentModeDetails"
"1","T-1                 ","2023-10-16 00:00:00","By Online Transfer            ","3","90000.00","",""
"2","T-2                 ","2023-10-19 00:00:00","By Online Transfer            ","3","50000.00","",""
"3","T-3                 ","2023-10-24 00:00:00","By Online Transfer            ","3","30000.00","",""
"4","T-4                 ","2024-03-27 00:00:00","By Online Transfer            ","1","115575.00","",""
"5","T-5                 ","2024-04-19 00:00:00","By Online Transfer            ","1","27273.00","",""
"6","T-6                 ","2024-03-05 00:00:00","By Online Transfer            ","1","35000.00","",""
"7","T-7                 ","2024-02-22 00:00:00","By Online Transfer            ","1","150352.00","",""
"8","T-8                 ","2024-01-30 00:00:00","By Online Transfer            ","1","90000.00","",""
"9","T-9                 ","2024-02-03 00:00:00","By Online Transfer            ","1","147087.00","",""
"10","T-10                ","2024-04-13 00:00:00","By Online Transfer            ","1","90674.00","",""
