"PID","ProductCode","ProductName","ProductNameTamil","HSNCode","Category","Manufacturer","Description","CostPrice","Discount","CGST","SGST","ReorderPoint","Unit","Barcode"
"1","P-0001                        ","Grain Zero Cat Adult 7KG                                                                                                                                                                                ","","23091000                      ","Cat Food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","10","No                                                                                                                                                    ","100001"
"2","P-0002                        ","Grain Zero Cat Kitten 7KG                                                                                                                                                                               ","","23091000                      ","Cat Food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","15","No                                                                                                                                                    ","100002"
"3","P-0003                        ","Grain Zero Cat Persian 7KG                                                                                                                                                                              ","","23091000                      ","Cat Food                                                                                                                                                                                                ","Signature                                                                                                                                                                                               ","","0.00","0.00","9.00","9.00","15","No                                                                                                                                                    ","100003"
"4","P-0004                        ","Filomilo Biscuit CF 1KG                                                                                                                                                                                 ","","23091000                      ","Pet Biscuit                                                                                                                                                                                             ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","100004"
"5","P-0005                        ","Filomilo Biscuit M&E 1KG                                                                                                                                                                                ","","23091000                      ","Pet Biscuit                                                                                                                                                                                             ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","100005"
"6","P-0006                        ","Filomilo Biscuit MF 1KG                                                                                                                                                                                 ","","23091000                      ","Pet Biscuit                                                                                                                                                                                             ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","100006"
"7","P-0007                        ","Filomilo Biscuit CF 500G                                                                                                                                                                                ","","23091000                      ","Pet Biscuit                                                                                                                                                                                             ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","100007"
"8","P-0008                        ","Filomilo Biscuit M&E 500G                                                                                                                                                                               ","","23091000                      ","Pet Biscuit                                                                                                                                                                                             ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","100008"
"9","P-0009                        ","Filomilo Biscuit MF 500G                                                                                                                                                                                ","","23091000                      ","Pet Biscuit                                                                                                                                                                                             ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","100009"
"10","P-0010                        ","Filomilo Biscuit CF 50G                                                                                                                                                                                 ","","23091000                      ","Pet Biscuit                                                                                                                                                                                             ","Filomilo                                                                                                                                                                                                ","","0.00","0.00","9.00","9.00","12","No                                                                                                                                                    ","100010"
