"ST_ID","InvoiceNo","PurchaseType","ReferenceNo1","ReferenceNo2","Date","SupplierID","SupplierInvoiceNo","SupplierInvoiceDate","TaxType","SGST","CGST","IGST","SubTotal","PreviousDue","FreightCharges","OtherCharges","Total","RoundOff","GrandTotal","TotalPayment","PaymentDue","Remarks"
"1","ST-0001                       ","Cash                ","                              ","                              ","2023-09-25 00:00:00","2","                              ","2023-09-25 00:00:00","Exclusive           ","3826.83","3826.83","0.00","42520.32","0.00","0.00","0.00","50173.98","0.02","50174.00","50174.00","0.00",""
"2","ST-0002                       ","Cash                ","                              ","                              ","2023-09-17 00:00:00","1","TN2308109895                  ","2023-09-17 00:00:00","Exclusive           ","1175.90","1175.90","0.00","13065.60","0.00","0.00","0.00","15417.40","-0.40","15417.00","15417.00","0.00",""
"3","ST-0003                       ","Cash                ","                              ","                              ","2023-09-18 00:00:00","1","TN2308109915                  ","2023-09-18 00:00:00","Exclusive           ","5429.77","5429.77","0.00","60330.81","0.00","0.00","0.00","71190.35","-0.35","71190.00","71190.00","0.00",""
"4","ST-0004                       ","Cash                ","                              ","                              ","2023-09-08 00:00:00","1","TN2308109236                  ","2023-09-08 00:00:00","Exclusive           ","2228.04","2228.04","0.00","24756.00","0.00","0.00","0.00","29212.08","-0.08","29212.00","29212.00","0.00",""
"5","ST-0005                       ","Cash                ","                              ","                              ","2023-09-08 00:00:00","1","TN2308109237                  ","2023-09-08 00:00:00","Exclusive           ","5252.36","5252.36","0.00","58359.53","0.00","0.00","0.00","68864.25","-0.25","68864.00","68864.00","0.00",""
"6","ST-0006                       ","Cash                ","                              ","                              ","2023-09-09 00:00:00","1","TN2308109323                  ","2023-09-09 00:00:00","Exclusive           ","2240.41","2240.41","0.00","24893.35","0.00","0.00","0.00","29374.17","-0.17","29374.00","29374.00","0.00",""
"7","ST-0007                       ","Cash                ","                              ","                              ","2023-09-09 00:00:00","1","TN2308109324                  ","2023-09-09 00:00:00","Exclusive           ","783.93","783.93","0.00","8710.40","0.00","0.00","0.00","10278.26","-0.26","10278.00","10278.00","0.00",""
"8","ST-0008                       ","Credit              ","                              ","                              ","2023-09-21 00:00:00","3","153685                        ","2023-09-21 00:00:00","Exclusive           ","4427.95","4427.95","0.00","49199.52","0.00","0.00","0.00","58055.42","-0.42","58055.00","0.00","58055.00",""
"9","ST-0009                       ","Credit              ","                              ","                              ","2023-08-31 00:00:00","4","34955                         ","2023-08-31 00:00:00","Exclusive           ","4801.24","4801.24","0.00","53347.06","0.00","0.00","0.00","62949.54","0.46","62950.00","0.00","62950.00",""
"10","ST-0010                       ","Credit              ","                              ","                              ","2023-08-31 00:00:00","3","153607                        ","2023-08-31 00:00:00","Exclusive           ","18018.14","18018.14","0.00","200201.79","58055.00","0.00","0.00","294293.07","-0.07","294293.00","0.00","294293.00",""
