"SP_ID","StockID","ProductID","BatchNo","Qty","FreeQty","MRP","Price","CGSTPer","CGSTAmt","SGSTPer","SGSTAmt","IGSTPer","IGSTAmt","DiscountPer","DiscountAmt","SalesRate","TotalAmount","MfgDate","ExpiryDate"
"67","1","4","CF008","48.00","","349.00","143.48","9.00","619.83","9.00","619.83","0.00","0.00","0.0000","0.00","295.76","8126.70","2023-08-08 00:00:00","2025-04-08 00:00:00"
"68","1","5","MEF007","24.00","","349.00","143.48","9.00","309.92","9.00","309.92","0.00","0.00","0.0000","0.00","295.76","4063.36","2023-08-06 00:00:00","2025-03-06 00:00:00"
"69","1","6","MUF007","48.00","","349.00","143.48","9.00","619.83","9.00","619.83","0.00","0.00","0.0000","0.00","295.76","8126.70","2023-07-06 00:00:00","2025-02-06 00:00:00"
"70","1","7","CF009","48.00","","199.00","81.81","9.00","353.42","9.00","353.42","0.00","0.00","0.0000","0.00","168.64","4633.72","2023-08-24 00:00:00","2025-04-24 00:00:00"
"71","1","8","MEF005","24.00","","199.00","81.81","9.00","176.71","9.00","176.71","0.00","0.00","0.0000","0.00","168.64","2316.86","2023-05-01 00:00:00","2025-01-01 00:00:00"
"72","1","9","MUF010","48.00","","199.00","81.81","9.00","353.42","9.00","353.42","0.00","0.00","0.0000","0.00","168.64","4633.72","2023-09-04 00:00:00","2025-05-04 00:00:00"
"73","1","10","B-04","240.00","","20.00","10.46","9.00","225.94","9.00","225.94","0.00","0.00","0.0000","0.00","16.95","2962.28","2023-08-25 00:00:00","2025-04-25 00:00:00"
"74","1","11","B-6","360.00","","20.00","10.46","9.00","338.90","9.00","338.90","0.00","0.00","0.0000","0.00","16.95","4443.40","2023-06-06 00:00:00","2025-02-06 00:00:00"
"75","1","12","B-02","240.00","","20.00","10.46","9.00","225.94","9.00","225.94","0.00","0.00","0.0000","0.00","16.95","2962.28","2023-08-01 00:00:00","2025-04-01 00:00:00"
"76","1","13","CF005","24.00","","175.00","71.94","9.00","155.39","9.00","155.39","0.00","0.00","0.0000","0.00","148.31","2037.34","2023-07-10 00:00:00","2025-03-10 00:00:00"
"77","1","14","MUF004","24.00","","175.00","71.94","9.00","155.39","9.00","155.39","0.00","0.00","0.0000","0.00","148.31","2037.34","2023-04-06 00:00:00","2024-12-06 00:00:00"
"78","1","15","BS2311","24.00","","329.00","135.25","9.00","292.14","9.00","292.14","0.00","0.00","0.0000","0.00","278.81","3830.28","2023-08-01 00:00:00","2025-08-01 00:00:00"
"79","2","1","NSCA040823","15.00","","1900.00","871.04","9.00","1175.90","9.00","1175.90","0.00","0.00","0.0000","0.00","1610.17","15417.40","2023-08-18 00:00:00","2025-08-18 00:00:00"
"80","3","2","NSCK110923","25.00","","2200.00","1008.57","9.00","2269.28","9.00","2269.28","0.00","0.00","0.0000","0.00","1864.41","29752.81","2023-09-16 00:00:00","2025-09-16 00:00:00"
"81","3","3","NSCP120923","25.00","","2000.00","916.88","9.00","2062.98","9.00","2062.98","0.00","0.00","0.0000","0.00","1694.92","27047.96","2023-09-15 00:00:00","2025-09-15 00:00:00"
"82","3","1","NSCA040823","14.00","","1900.00","871.04","9.00","1097.51","9.00","1097.51","0.00","0.00","0.0000","0.00","1610.17","14389.58","2023-08-18 00:00:00","2025-08-18 00:00:00"
