"Id","Date","Name","LedgerNo","Label","Debit","Credit","PartyID"
"24","2023-09-25 00:00:00","SRI AISWARYA AGENCY                                                                                                                                                                                     ","ST-0001                                           ","Purchase                                                                                                                                                                                                ","0.00","50174.00","S-0002              "
"25","2023-09-25 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0001                                           ","Payment                                                                                                                                                                                                 ","50174.00","0.00","S-0002              "
"26","2023-09-17 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0002                                           ","Purchase                                                                                                                                                                                                ","0.00","15417.00","S-0001              "
"27","2023-09-17 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0002                                           ","Payment                                                                                                                                                                                                 ","15417.00","0.00","S-0001              "
"28","2023-09-18 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0003                                           ","Purchase                                                                                                                                                                                                ","0.00","71190.00","S-0001              "
"29","2023-09-18 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0003                                           ","Payment                                                                                                                                                                                                 ","71190.00","0.00","S-0001              "
"30","2023-09-08 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0004                                           ","Purchase                                                                                                                                                                                                ","0.00","29212.00","S-0001              "
"31","2023-09-08 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0004                                           ","Payment                                                                                                                                                                                                 ","29212.00","0.00","S-0001              "
"32","2023-09-08 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0005                                           ","Purchase                                                                                                                                                                                                ","0.00","68864.00","S-0001              "
"33","2023-09-08 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0005                                           ","Payment                                                                                                                                                                                                 ","68864.00","0.00","S-0001              "
"34","2023-09-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0006                                           ","Purchase                                                                                                                                                                                                ","0.00","29374.00","S-0001              "
"35","2023-09-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0006                                           ","Payment                                                                                                                                                                                                 ","29374.00","0.00","S-0001              "
"36","2023-09-09 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0007                                           ","Purchase                                                                                                                                                                                                ","0.00","10278.00","S-0001              "
"37","2023-09-09 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0007                                           ","Payment                                                                                                                                                                                                 ","10278.00","0.00","S-0001              "
"38","2023-09-21 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0008                                           ","Purchase                                                                                                                                                                                                ","0.00","58055.00","S-0003              "
"39","2023-08-31 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0009                                           ","Purchase                                                                                                                                                                                                ","0.00","62950.00","S-0004              "
"40","2023-08-31 00:00:00","ORANGE PET NUTRITION                                                                                                                                                                                    ","ST-0010                                           ","Purchase                                                                                                                                                                                                ","0.00","236238.00","S-0003              "
"41","2023-10-16 00:00:00","Bank Account                                                                                                                                                                                            ","T-1                                               ","Payment                                                                                                                                                                                                 ","90000.00","0.00","S-0003              "
"42","2023-10-12 00:00:00","DROOLS PET FOOD                                                                                                                                                                                         ","ST-0011                                           ","Purchase                                                                                                                                                                                                ","0.00","1359.00","S-0001              "
"43","2023-10-12 00:00:00","Cash Account                                                                                                                                                                                            ","ST-0011                                           ","Payment                                                                                                                                                                                                 ","1359.00","0.00","S-0001              "
