"Id","ProductID","Qty","PurchaseCost","SalesCost","MRP","BatchNo","MfgDate","ExpiryDate","Barcode"
"1","1","18.00","871.04","1610.17","1900.00","NSCA040823                                        ","2023-08-18 00:00:00","2025-08-18 00:00:00","100001"
"2","2","0.00","1008.57","1864.41","2200.00","NSCK110923                                        ","2023-09-16 00:00:00","2025-09-16 00:00:00","100002"
"3","3","0.00","916.88","1694.92","2000.00","NSCP120923                                        ","2023-09-15 00:00:00","2025-09-15 00:00:00","100003"
"4","4","20.00","143.48","295.76","349.00","CF008                                             ","2023-08-08 00:00:00","2025-04-08 00:00:00","100004"
"5","5","0.00","143.48","295.76","349.00","MEF007                                            ","2023-08-06 00:00:00","2025-03-06 00:00:00","100005"
"6","6","27.00","143.48","295.76","349.00","MUF007                                            ","2023-07-06 00:00:00","2025-02-06 00:00:00","100006"
"7","7","49.00","81.81","168.64","199.00","CF009                                             ","2023-08-24 00:00:00","2025-04-24 00:00:00","100007"
"8","8","0.00","81.81","168.64","199.00","MEF005                                            ","2023-05-01 00:00:00","2025-01-01 00:00:00","100008"
"9","9","57.00","81.81","168.64","199.00","MUF010                                            ","2023-09-04 00:00:00","2025-05-04 00:00:00","100009"
"10","10","319.00","10.46","16.95","20.00","B-04                                              ","2023-08-25 00:00:00","2025-04-25 00:00:00","100010"
"11","11","360.00","10.46","16.95","20.00","B-6                                               ","2023-06-06 00:00:00","2025-02-06 00:00:00","100011"
"12","12","369.00","10.46","16.95","20.00","B-02                                              ","2023-08-01 00:00:00","2025-04-01 00:00:00","100012"
"13","13","6.00","71.94","148.31","175.00","CF005                                             ","2023-07-10 00:00:00","2025-03-10 00:00:00","100013"
"14","14","30.00","71.94","148.31","175.00","MUF004                                            ","2023-04-06 00:00:00","2024-12-06 00:00:00","100014"
"15","15","192.00","135.25","278.81","329.00","BS2311                                            ","2023-08-01 00:00:00","2025-08-01 00:00:00","100015"
"16","16","0.00","206.30","381.36","450.00","TSCK100723                                        ","2023-07-21 00:00:00","2025-07-21 00:00:00","100016"
"17","17","0.00","197.13","364.41","430.00","TSCP030823                                        ","2023-08-07 00:00:00","2025-08-07 00:00:00","100017"
"18","18","0.00","187.96","347.46","410.00","TSCA040823                                        ","2023-08-08 00:00:00","2025-08-08 00:00:00","100018"
"19","19","350.00","0.00","0.00","0.00","0                                                 ","2023-10-01 00:00:00","2023-10-01 00:00:00","100019"
"20","20","420.00","0.00","0.00","40.00","0                                                 ","2023-10-01 00:00:00","2023-10-01 00:00:00","100020"
"21","21","170.00","0.00","0.00","40.00","0                                                 ","2023-10-01 00:00:00","2023-10-01 00:00:00","100021"
"24","24","70.00","23.30","46.61","55.00","EC028                                             ","2023-10-02 00:00:00","2026-07-30 00:00:00","100024"
"25","25","10.00","99.15","165.25","195.00","REX039                                            ","2023-10-02 00:00:00","2026-07-31 00:00:00","100025"
"26","26","12.00","391.53","745.76","880.00","19062023                                          ","2023-10-02 00:00:00","2024-10-31 00:00:00","100026"
"27","27","15.00","1090.04","2076.27","2450.00","01082023P                                         ","2023-10-02 00:00:00","2024-12-31 00:00:00","100027"
"28","28","0.00","387.08","737.29","870.00","15072023                                          ","2023-10-02 00:00:00","2024-11-30 00:00:00","100028"
"29","29","28.00","355.93","677.97","800.00","1082023                                           ","2023-10-02 00:00:00","2024-11-30 00:00:00","100029"
"30","30","22.00","978.81","1864.41","2200.00","01082023P                                         ","2023-10-02 00:00:00","2024-12-31 00:00:00","100030"
"31","31","0.00","0.00","0.00","0.00","5052020                                           ","2023-10-02 00:00:00","2023-10-02 00:00:00","100031"
